event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,height-raw,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
369424965,true,2009-04-15 09:00:00.000,-10.21283,54.11933,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424966,true,2009-04-15 11:00:00.000,-10.2115,54.11967,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424967,true,2009-04-15 13:00:00.000,-10.2055,54.115,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424968,true,2009-04-15 15:00:00.000,-10.20967,54.11783,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424969,true,2009-04-15 17:00:00.000,-10.20883,54.11867,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424970,true,2009-04-16 03:00:00.000,-10.21483,54.11967,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424971,true,2009-04-16 05:00:00.000,-10.214,54.11933,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424972,true,2009-04-16 07:00:00.000,-10.2105,54.11833,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424973,true,2009-04-16 09:00:00.000,-10.21383,54.1215,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424974,true,2009-04-16 11:00:00.000,-10.21283,54.119,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424975,true,2009-04-16 13:00:00.000,-10.21267,54.11917,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424976,true,2009-04-16 15:00:00.000,-10.213,54.119,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424977,true,2009-04-16 17:00:00.000,-10.21283,54.119,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424978,true,2009-04-16 19:00:00.000,-10.21217,54.1195,,"3","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424979,true,2009-04-16 21:00:00.000,-10.21483,54.11967,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424980,true,2009-04-16 23:00:00.000,-10.22317,54.1155,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424981,true,2009-04-17 03:00:00.000,-10.22333,54.1155,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424982,true,2009-04-17 05:00:00.000,-10.2095,54.11817,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424983,true,2009-04-17 07:00:00.000,-10.21167,54.11917,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424984,true,2009-04-17 09:00:00.000,-10.211,54.1195,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424985,true,2009-04-17 11:00:00.000,-10.21083,54.119,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424986,true,2009-04-17 13:00:00.000,-10.21317,54.11917,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424987,true,2009-04-17 15:00:00.000,-10.21233,54.11933,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424988,true,2009-04-17 17:00:00.000,-10.21217,54.12183,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424989,true,2009-04-17 23:00:00.000,-10.21783,54.11817,,"5","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424990,true,2009-04-18 03:00:00.000,-10.21467,54.12117,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424991,true,2009-04-18 05:00:00.000,-10.21433,54.12117,,"4","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424992,true,2009-04-18 07:00:00.000,-10.21283,54.12,,"2","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424993,true,2009-04-18 09:00:00.000,-10.21267,54.11917,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424994,true,2009-04-18 11:00:00.000,-10.213,54.11917,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424995,true,2009-04-18 13:00:00.000,-10.21233,54.11917,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424996,true,2009-04-18 15:00:00.000,-10.20467,54.12667,,"2D fix","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
369424997,true,2009-04-18 17:00:00.000,-10.20283,54.13017,,"neg alt","gps","Branta leucopsis","65698","65698","Migration timing in barnacle geese (Greenland) (data from Kölzsch et al. and Shariatinajafabadi et al. 2014)"
